api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
05-123-37509,400603227,2014,2013,1,Horizontal,Encana Oil & Gas Inc,40.22209,-105.01632,Flowline,Leak,Gasket,Equipment Failure,Condensate,Unknown,126,No,No,CO
05-123-38563,400608672,2014,2014,0,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.129204,-104.882983,Flowline,Leak,Disconnected,Human Error,Drilling Waste,Drilling Fluids,2184,No,Yes,CO
05-123-38787,400614142,2014,2014,0,Horizontal,Bonanza Creek Energy Operating Co LLC,40.3352,-104.40355,Flowline,Leak,Unknown,Equipment Failure,Drilling Waste,Unknown,252,No,No,CO
05-123-35252,400616283,2014,2014,0,Horizontal,PDC Energy Inc,40.27654,-104.95606,Tank,Leak,Valve,Human Error,Saltwater,Unknown,840,No,No,CO
05-123-38787,400619009,2014,2014,0,Horizontal,Bonanza Creek Energy Operating Co LLC,40.3352,-104.40355,Pump,Leak,Unknown,Equipment Failure,Drilling Waste,Unknown,336,No,Yes,CO
05-123-38288,400623311,2014,2013,1,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.093922,-104.75059,Tank,Overflow,Valve,Equipment Failure,Oil & Saltwater,Recycled Water,168,No,Yes,CO
05-123-39187,400625645,2014,2014,0,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.198881,-104.944148,Tank,Overflow,Valve,Human Error,Drilling Waste,Unknown,8400,No,Yes,CO
05-123-36957,400627686,2014,2013,1,Horizontal,PDC Energy Inc,40.16082,-104.52084,Transport,Overflow,Loading/Unloading,Human Error,Crude Oil,Unknown,168,No,No,CO
05-123-37911,400644143,2014,2014,0,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.008551,-104.922354,Tank,Leak,Transport,Human Error,Drilling Waste,Drilling Mud,1848,No,Yes,CO
05-123-37251,400648471,2014,2014,0,Horizontal,Extraction Oil & Gas LLC,40.46144,-104.88538,Wellhead,Leak,Fitting,Equipment Failure,Saltwater,Flowback,9030,No,No,CO
05-123-36932,400668543,2014,2013,1,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.028392,-104.890029,Tank,Leak,Cleanout Plate,Human Error,Saltwater,Recycled Water,5460,No,Yes,CO
05-123-40315,400724415,2014,2014,0,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.159141,-104.700563,Drill Rig,NA,Incorrectly Connected,Human Error,Drilling Waste,Drilling Fluids,336,No,Yes,CO
05-123-39218,400728903,2014,2014,0,Horizontal,Encana Oil & Gas Inc,40.090826,-104.719481,Pump,Leak,Connecting Hose,Equipment Failure,Saltwater,Unknown,168,No,No,CO
05-123-39190,400732692,2014,2014,0,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.071422,-104.909833,Tank,Overflow,Lack of Communication,Human Error,Crude Oil,Unknown,378,No,Yes,CO
05-123-39774,400737170,2014,2014,0,Horizontal,Encana Oil & Gas Inc,40.101468,-104.578637,Pump,Leak,Hole,Equipment Failure,Drilling Waste,Unknown,126,No,No,CO
05-123-40394,400750489,2014,2014,0,Horizontal,Bonanza Creek Energy Operating Co LLC,40.611086,-104.391514,Well Cellar,Overflow,Pump Plugged,Equipment Failure,Drilling Waste,Drilling Mud,546,No,No,CO
